Vardas                        Pavardė                      ND1  ND2  ND3  ND4  ND5  
Vardas1764                    Pavardė1764                  5    9    4    3    9    
Vardas1765                    Pavardė1765                  6    2    1    9    7    
Vardas1766                    Pavardė1766                  5    7    3    1    7    
Vardas1767                    Pavardė1767                  9    1    4    8    3    
Vardas1768                    Pavardė1768                  3    2    4    3    9    
Vardas1769                    Pavardė1769                  3    5    8    8    4    
Vardas1770                    Pavardė1770                  7    4    8    9    8    
Vardas1771                    Pavardė1771                  6    4    2    3    6    
Vardas1772                    Pavardė1772                  6    3    8    6    3    
Vardas1773                    Pavardė1773                  3    8    6    5    7    
Vardas1774                    Pavardė1774                  9    9    5    5    4    
Vardas1775                    Pavardė1775                  8    4    4    9    2    
Vardas1776                    Pavardė1776                  7    6    5    2    3    
Vardas1777                    Pavardė1777                  5    3    3    8    6    
Vardas1778                    Pavardė1778                  8    5    8    7    4    
Vardas1779                    Pavardė1779                  1    7    1    9    7    
Vardas1780                    Pavardė1780                  1    9    9    2    6    
Vardas1781                    Pavardė1781                  1    7    4    7    1    
Vardas1782                    Pavardė1782                  7    4    2    3    1    
Vardas1783                    Pavardė1783                  2    7    7    8    7    
Vardas1784                    Pavardė1784                  6    6    2    6    9    
Vardas1785                    Pavardė1785                  3    2    5    8    5    
Vardas1786                    Pavardė1786                  9    1    4    5    3    
Vardas1787                    Pavardė1787                  7    1    4    9    1    
Vardas1788                    Pavardė1788                  7    6    7    2    7    
Vardas1789                    Pavardė1789                  8    7    2    3    9    
Vardas1790                    Pavardė1790                  4    5    4    8    9    
Vardas1791                    Pavardė1791                  5    1    6    3    2    
Vardas1792                    Pavardė1792                  5    1    7    6    6    
Vardas1793                    Pavardė1793                  7    8    1    5    6    
Vardas1794                    Pavardė1794                  9    3    1    2    3    
Vardas1795                    Pavardė1795                  2    8    8    1    4    
Vardas1796                    Pavardė1796                  1    8    9    3    3    
Vardas1797                    Pavardė1797                  6    4    1    3    8    
Vardas1798                    Pavardė1798                  8    4    4    4    3    
Vardas1799                    Pavardė1799                  2    4    2    9    9    
Vardas1800                    Pavardė1800                  9    5    5    1    3    
Vardas1801                    Pavardė1801                  8    7    4    1    6    
Vardas1802                    Pavardė1802                  2    9    2    9    1    
Vardas1803                    Pavardė1803                  1    9    1    5    7    
Vardas1804                    Pavardė1804                  6    7    5    2    4    
Vardas1805                    Pavardė1805                  7    4    6    6    6    
Vardas1806                    Pavardė1806                  9    8    5    3    6    
Vardas1807                    Pavardė1807                  1    5    4    6    9    
Vardas1808                    Pavardė1808                  2    9    8    9    3    
Vardas1809                    Pavardė1809                  9    2    5    2    7    
Vardas1810                    Pavardė1810                  3    6    9    3    7    
Vardas1811                    Pavardė1811                  3    7    7    8    1    
Vardas1812                    Pavardė1812                  7    3    1    6    2    
Vardas1813                    Pavardė1813                  4    1    8    5    5    
Vardas1814                    Pavardė1814                  6    8    5    3    9    
Vardas1815                    Pavardė1815                  9    5    3    6    9    
Vardas1816                    Pavardė1816                  2    8    7    7    5    
Vardas1817                    Pavardė1817                  5    5    7    5    6    
Vardas1818                    Pavardė1818                  8    6    4    4    8    
Vardas1819                    Pavardė1819                  4    6    7    1    9    
Vardas1820                    Pavardė1820                  4    5    7    3    2    
Vardas1821                    Pavardė1821                  6    5    7    9    5    
Vardas1822                    Pavardė1822                  4    4    6    4    3    
Vardas1823                    Pavardė1823                  7    3    4    9    7    
Vardas1824                    Pavardė1824                  1    7    2    6    1    
Vardas1825                    Pavardė1825                  1    9    6    9    5    
Vardas1826                    Pavardė1826                  5    2    7    3    8    
Vardas1827                    Pavardė1827                  6    8    3    6    9    
Vardas1828                    Pavardė1828                  3    2    3    4    4    
Vardas1829                    Pavardė1829                  2    9    2    8    2    
Vardas1830                    Pavardė1830                  6    1    9    6    8    
Vardas1831                    Pavardė1831                  7    5    7    3    9    
Vardas1832                    Pavardė1832                  6    5    9    2    1    
Vardas1833                    Pavardė1833                  5    9    2    2    9    
Vardas1834                    Pavardė1834                  6    9    7    4    1    
Vardas1835                    Pavardė1835                  4    6    7    4    7    
Vardas1836                    Pavardė1836                  9    9    3    3    3    
Vardas1837                    Pavardė1837                  8    9    5    6    7    
Vardas1838                    Pavardė1838                  7    4    7    7    7    
Vardas1839                    Pavardė1839                  1    3    7    1    6    
Vardas1840                    Pavardė1840                  5    7    6    5    5    
Vardas1841                    Pavardė1841                  4    9    3    8    7    
Vardas1842                    Pavardė1842                  5    1    6    4    6    
Vardas1843                    Pavardė1843                  7    8    2    5    4    
Vardas1844                    Pavardė1844                  4    7    9    1    1    
Vardas1845                    Pavardė1845                  1    1    1    8    3    
Vardas1846                    Pavardė1846                  9    5    9    4    1    
Vardas1847                    Pavardė1847                  8    6    9    1    7    
Vardas1848                    Pavardė1848                  6    3    2    6    1    
Vardas1849                    Pavardė1849                  1    5    4    6    1    
Vardas1850                    Pavardė1850                  3    2    2    8    4    
Vardas1851                    Pavardė1851                  1    1    3    5    1    
Vardas1852                    Pavardė1852                  1    4    5    1    4    
Vardas1853                    Pavardė1853                  4    3    4    4    2    
Vardas1854                    Pavardė1854                  5    6    4    1    5    
Vardas1855                    Pavardė1855                  5    2    3    2    9    
Vardas1856                    Pavardė1856                  2    3    3    9    9    
Vardas1857                    Pavardė1857                  5    1    6    3    5    
Vardas1858                    Pavardė1858                  8    5    3    6    2    
Vardas1859                    Pavardė1859                  2    2    3    4    6    
Vardas1860                    Pavardė1860                  1    7    7    9    8    
Vardas1861                    Pavardė1861                  3    8    1    2    7    
Vardas1862                    Pavardė1862                  9    4    8    8    2    
Vardas1863                    Pavardė1863                  8    4    9    3    4    
Vardas1864                    Pavardė1864                  7    9    1    5    4    
Vardas1865                    Pavardė1865                  8    1    4    2    9    
Vardas1866                    Pavardė1866                  2    1    8    2    5    
Vardas1867                    Pavardė1867                  1    7    3    3    6    
Vardas1868                    Pavardė1868                  9    7    3    1    5    
Vardas1869                    Pavardė1869                  2    6    2    3    8    
Vardas1870                    Pavardė1870                  4    2    7    4    9    
Vardas1871                    Pavardė1871                  5    4    1    5    2    
Vardas1872                    Pavardė1872                  2    5    2    2    9    
Vardas1873                    Pavardė1873                  1    6    4    3    1    
Vardas1874                    Pavardė1874                  3    6    1    5    5    
Vardas1875                    Pavardė1875                  3    2    1    5    7    
Vardas1876                    Pavardė1876                  8    9    2    2    8    
Vardas1877                    Pavardė1877                  4    7    3    3    1    
Vardas1878                    Pavardė1878                  6    4    9    8    6    
Vardas1879                    Pavardė1879                  6    1    2    5    1    
Vardas1880                    Pavardė1880                  1    8    1    9    2    
Vardas1881                    Pavardė1881                  8    3    7    4    8    
Vardas1882                    Pavardė1882                  2    2    7    7    7    
Vardas1883                    Pavardė1883                  1    6    9    3    6    
Vardas1884                    Pavardė1884                  9    5    8    5    3    
Vardas1885                    Pavardė1885                  1    9    7    7    5    
Vardas1886                    Pavardė1886                  8    4    2    8    7    
Vardas1887                    Pavardė1887                  1    7    8    2    8    
Vardas1888                    Pavardė1888                  1    5    1    3    6    
Vardas1889                    Pavardė1889                  9    1    8    4    9    
Vardas1890                    Pavardė1890                  8    1    7    5    4    
Vardas1891                    Pavardė1891                  9    5    6    3    9    
Vardas1892                    Pavardė1892                  6    6    2    1    3    
Vardas1893                    Pavardė1893                  5    7    4    3    8    
Vardas1894                    Pavardė1894                  5    5    2    8    1    
Vardas1895                    Pavardė1895                  1    4    9    4    7    
Vardas1896                    Pavardė1896                  8    1    8    7    6    
Vardas1897                    Pavardė1897                  7    2    5    8    6    
Vardas1898                    Pavardė1898                  4    8    7    8    2    
Vardas1899                    Pavardė1899                  7    4    9    4    3    
Vardas1900                    Pavardė1900                  2    9    6    3    8    
Vardas1901                    Pavardė1901                  2    6    9    2    9    
Vardas1902                    Pavardė1902                  3    8    2    5    9    
Vardas1903                    Pavardė1903                  4    8    5    3    4    
Vardas1904                    Pavardė1904                  5    7    6    9    5    
Vardas1905                    Pavardė1905                  9    3    5    8    9    
Vardas1906                    Pavardė1906                  6    9    8    8    5    
Vardas1907                    Pavardė1907                  9    8    5    7    8    
Vardas1908                    Pavardė1908                  8    6    8    5    8    
Vardas1909                    Pavardė1909                  4    6    9    5    2    
Vardas1910                    Pavardė1910                  2    5    3    7    4    
Vardas1911                    Pavardė1911                  9    6    4    2    2    
Vardas1912                    Pavardė1912                  7    2    8    4    8    
Vardas1913                    Pavardė1913                  1    6    1    3    8    
Vardas1914                    Pavardė1914                  4    8    7    4    5    
Vardas1915                    Pavardė1915                  9    8    4    2    2    
Vardas1916                    Pavardė1916                  4    3    6    3    2    
Vardas1917                    Pavardė1917                  3    5    1    4    3    
Vardas1918                    Pavardė1918                  8    8    5    4    7    
Vardas1919                    Pavardė1919                  5    3    4    6    7    
Vardas1920                    Pavardė1920                  9    6    6    1    1    
Vardas1921                    Pavardė1921                  4    3    3    6    9    
Vardas1922                    Pavardė1922                  3    1    4    6    2    
Vardas1923                    Pavardė1923                  6    4    9    4    4    
Vardas1924                    Pavardė1924                  5    7    7    3    5    
Vardas1925                    Pavardė1925                  4    5    2    5    9    
Vardas1926                    Pavardė1926                  4    4    8    7    6    
Vardas1927                    Pavardė1927                  3    4    4    7    3    
Vardas1928                    Pavardė1928                  4    4    5    4    7    
Vardas1929                    Pavardė1929                  4    7    8    2    1    
Vardas1930                    Pavardė1930                  2    1    9    7    9    
Vardas1931                    Pavardė1931                  5    1    3    4    8    
Vardas1932                    Pavardė1932                  4    7    9    7    6    
Vardas1933                    Pavardė1933                  5    3    5    7    7    
Vardas1934                    Pavardė1934                  4    4    3    8    1    
Vardas1935                    Pavardė1935                  2    8    8    3    9    
Vardas1936                    Pavardė1936                  2    4    6    1    3    
Vardas1937                    Pavardė1937                  6    4    1    8    3    
Vardas1938                    Pavardė1938                  5    4    3    1    3    
Vardas1939                    Pavardė1939                  4    2    6    9    5    
Vardas1940                    Pavardė1940                  7    2    2    7    7    
Vardas1941                    Pavardė1941                  8    2    3    3    2    
Vardas1942                    Pavardė1942                  3    5    4    9    4    
Vardas1943                    Pavardė1943                  8    5    6    7    4    
Vardas1944                    Pavardė1944                  1    6    5    3    3    
Vardas1945                    Pavardė1945                  6    5    7    2    9    
Vardas1946                    Pavardė1946                  4    7    9    1    3    
Vardas1947                    Pavardė1947                  8    6    8    9    8    
Vardas1948                    Pavardė1948                  6    8    2    3    8    
Vardas1949                    Pavardė1949                  2    1    2    5    3    
Vardas1950                    Pavardė1950                  3    4    9    8    8    
Vardas1951                    Pavardė1951                  1    5    8    4    5    
Vardas1952                    Pavardė1952                  7    1    8    7    8    
Vardas1953                    Pavardė1953                  4    6    4    8    4    
Vardas1954                    Pavardė1954                  3    1    3    7    2    
Vardas1955                    Pavardė1955                  1    3    1    8    7    
Vardas1956                    Pavardė1956                  7    3    9    3    9    
Vardas1957                    Pavardė1957                  8    6    3    6    6    
Vardas1958                    Pavardė1958                  4    9    7    7    9    
Vardas1959                    Pavardė1959                  1    9    4    5    6    
Vardas1960                    Pavardė1960                  1    5    8    2    5    
Vardas1961                    Pavardė1961                  8    7    3    3    2    
Vardas1962                    Pavardė1962                  3    4    9    8    5    
Vardas1963                    Pavardė1963                  7    1    8    5    7    
Vardas1964                    Pavardė1964                  3    4    9    3    3    
Vardas1965                    Pavardė1965                  3    4    1    6    7    
Vardas1966                    Pavardė1966                  8    6    4    3    1    
Vardas1967                    Pavardė1967                  1    7    3    8    7    
Vardas1968                    Pavardė1968                  4    9    2    4    6    
Vardas1969                    Pavardė1969                  4    5    6    3    9    
Vardas1970                    Pavardė1970                  3    4    2    4    4    
Vardas1971                    Pavardė1971                  1    8    3    2    4    
Vardas1972                    Pavardė1972                  5    2    9    8    9    
Vardas1973                    Pavardė1973                  7    4    9    8    2    
Vardas1974                    Pavardė1974                  6    6    6    9    7    
Vardas1975                    Pavardė1975                  9    7    6    6    3    
Vardas1976                    Pavardė1976                  1    3    9    6    1    
Vardas1977                    Pavardė1977                  7    2    6    1    4    
Vardas1978                    Pavardė1978                  5    3    1    2    2    
Vardas1979                    Pavardė1979                  4    1    6    2    3    
Vardas1980                    Pavardė1980                  8    2    1    6    1    
Vardas1981                    Pavardė1981                  6    8    7    3    2    
Vardas1982                    Pavardė1982                  7    4    5    6    1    
Vardas1983                    Pavardė1983                  9    5    6    4    8    
Vardas1984                    Pavardė1984                  6    2    8    9    6    
Vardas1985                    Pavardė1985                  5    2    1    3    8    
Vardas1986                    Pavardė1986                  5    1    6    1    4    
Vardas1987                    Pavardė1987                  6    2    4    1    9    
Vardas1988                    Pavardė1988                  3    1    1    8    5    
Vardas1989                    Pavardė1989                  2    6    1    3    9    
Vardas1990                    Pavardė1990                  9    1    9    1    2    
Vardas1991                    Pavardė1991                  1    8    3    8    4    
Vardas1992                    Pavardė1992                  6    7    6    1    1    
Vardas1993                    Pavardė1993                  5    3    2    2    6    
Vardas1994                    Pavardė1994                  5    5    5    2    4    
Vardas1995                    Pavardė1995                  3    4    5    9    4    
Vardas1996                    Pavardė1996                  6    2    3    4    6    
Vardas1997                    Pavardė1997                  5    2    2    7    2    
Vardas1998                    Pavardė1998                  7    3    6    3    2    
Vardas1999                    Pavardė1999                  1    2    4    8    1    
Vardas2000                    Pavardė2000                  1    5    1    5    6    
Vardas2001                    Pavardė2001                  7    2    1    2    7    
Vardas2002                    Pavardė2002                  2    8    1    2    3    
Vardas2003                    Pavardė2003                  7    7    9    2    9    
Vardas2004                    Pavardė2004                  7    7    9    8    8    
Vardas2005                    Pavardė2005                  4    3    5    8    3    
Vardas2006                    Pavardė2006                  9    3    3    1    3    
Vardas2007                    Pavardė2007                  4    4    8    3    4    
Vardas2008                    Pavardė2008                  5    6    7    7    7    
Vardas2009                    Pavardė2009                  7    3    6    6    8    
Vardas2010                    Pavardė2010                  9    2    3    8    6    
Vardas2011                    Pavardė2011                  9    1    4    8    6    
Vardas2012                    Pavardė2012                  2    8    7    6    9    
Vardas2013                    Pavardė2013                  6    2    2    2    8    
Vardas2014                    Pavardė2014                  7    2    4    3    5    
Vardas2015                    Pavardė2015                  8    3    6    4    4    
Vardas2016                    Pavardė2016                  2    6    7    9    3    
Vardas2017                    Pavardė2017                  7    9    1    6    1    
Vardas2018                    Pavardė2018                  8    5    3    8    1    
Vardas2019                    Pavardė2019                  5    6    3    8    7    
Vardas2020                    Pavardė2020                  1    9    3    2    1    
Vardas2021                    Pavardė2021                  7    8    9    8    3    
Vardas2022                    Pavardė2022                  3    8    3    2    5    
Vardas2023                    Pavardė2023                  1    7    6    6    4    
Vardas2024                    Pavardė2024                  6    7    7    5    7    
Vardas2025                    Pavardė2025                  2    4    5    6    7    
Vardas2026                    Pavardė2026                  5    5    9    6    3    
Vardas2027                    Pavardė2027                  2    5    1    2    3    
Vardas2028                    Pavardė2028                  8    6    5    5    3    
Vardas2029                    Pavardė2029                  4    8    6    6    6    
Vardas2030                    Pavardė2030                  2    7    4    4    3    
Vardas2031                    Pavardė2031                  4    7    6    3    8    
Vardas2032                    Pavardė2032                  3    8    9    8    2    
Vardas2033                    Pavardė2033                  6    3    5    9    5    
Vardas2034                    Pavardė2034                  9    3    3    6    4    
Vardas2035                    Pavardė2035                  5    2    1    1    8    
Vardas2036                    Pavardė2036                  2    6    1    1    9    
Vardas2037                    Pavardė2037                  4    5    4    8    6    
Vardas2038                    Pavardė2038                  5    7    9    3    9    
Vardas2039                    Pavardė2039                  3    7    4    5    2    
Vardas2040                    Pavardė2040                  2    2    7    8    8    
Vardas2041                    Pavardė2041                  3    5    2    5    1    
Vardas2042                    Pavardė2042                  5    5    6    1    4    
Vardas2043                    Pavardė2043                  4    9    3    5    9    
Vardas2044                    Pavardė2044                  1    6    1    5    1    
Vardas2045                    Pavardė2045                  7    8    5    4    5    
Vardas2046                    Pavardė2046                  6    7    8    5    5    
Vardas2047                    Pavardė2047                  8    1    4    4    6    
Vardas2048                    Pavardė2048                  1    2    3    9    7    
Vardas2049                    Pavardė2049                  1    5    4    2    4    
Vardas2050                    Pavardė2050                  9    9    1    3    2    
Vardas2051                    Pavardė2051                  1    1    1    9    6    
Vardas2052                    Pavardė2052                  1    3    5    9    6    
Vardas2053                    Pavardė2053                  4    6    6    7    2    
Vardas2054                    Pavardė2054                  7    6    2    8    4    
Vardas2055                    Pavardė2055                  7    5    6    1    4    
Vardas2056                    Pavardė2056                  8    5    8    7    4    
Vardas2057                    Pavardė2057                  9    2    6    4    2    
Vardas2058                    Pavardė2058                  7    8    9    6    4    
Vardas2059                    Pavardė2059                  8    2    5    6    6    
Vardas2060                    Pavardė2060                  1    5    9    5    4    
Vardas2061                    Pavardė2061                  5    3    4    5    4    
Vardas2062                    Pavardė2062                  2    1    1    4    1    
Vardas2063                    Pavardė2063                  6    1    9    4    6    
Vardas2064                    Pavardė2064                  7    7    7    9    3    
Vardas2065                    Pavardė2065                  6    6    3    9    4    
Vardas2066                    Pavardė2066                  9    4    9    7    3    
Vardas2067                    Pavardė2067                  3    1    8    2    8    
Vardas2068                    Pavardė2068                  7    5    3    7    2    
Vardas2069                    Pavardė2069                  6    4    4    5    5    
Vardas2070                    Pavardė2070                  2    9    7    3    1    
Vardas2071                    Pavardė2071                  5    3    5    3    3    
Vardas2072                    Pavardė2072                  6    5    4    2    4    
Vardas2073                    Pavardė2073                  5    3    6    4    7    
Vardas2074                    Pavardė2074                  6    2    6    8    3    
Vardas2075                    Pavardė2075                  7    9    4    6    5    
Vardas2076                    Pavardė2076                  3    9    2    5    7    
Vardas2077                    Pavardė2077                  7    7    3    1    3    
Vardas2078                    Pavardė2078                  5    2    7    1    8    
Vardas2079                    Pavardė2079                  6    3    5    7    3    
Vardas2080                    Pavardė2080                  5    5    3    6    7    
Vardas2081                    Pavardė2081                  3    2    7    3    6    
Vardas2082                    Pavardė2082                  1    8    6    7    4    
Vardas2083                    Pavardė2083                  7    3    9    6    4    
Vardas2084                    Pavardė2084                  6    3    5    9    2    
Vardas2085                    Pavardė2085                  9    4    2    7    7    
Vardas2086                    Pavardė2086                  6    2    3    3    5    
Vardas2087                    Pavardė2087                  1    5    2    6    5    
Vardas2088                    Pavardė2088                  8    3    8    4    3    
Vardas2089                    Pavardė2089                  9    9    2    4    6    
Vardas2090                    Pavardė2090                  5    5    9    3    7    
Vardas2091                    Pavardė2091                  4    2    4    2    8    
Vardas2092                    Pavardė2092                  7    1    1    9    5    
Vardas2093                    Pavardė2093                  3    4    9    3    1    
Vardas2094                    Pavardė2094                  7    7    6    1    7    
Vardas2095                    Pavardė2095                  9    3    3    6    1    
Vardas2096                    Pavardė2096                  4    3    5    5    8    
Vardas2097                    Pavardė2097                  5    4    3    9    5    
Vardas2098                    Pavardė2098                  4    9    4    9    6    
Vardas2099                    Pavardė2099                  9    6    2    1    6    
Vardas2100                    Pavardė2100                  9    5    6    6    8    
Vardas2101                    Pavardė2101                  5    6    7    9    3    
Vardas2102                    Pavardė2102                  5    6    3    9    1    
Vardas2103                    Pavardė2103                  7    1    3    9    7    
Vardas2104                    Pavardė2104                  9    9    5    1    8    
Vardas2105                    Pavardė2105                  6    8    8    4    8    
Vardas2106                    Pavardė2106                  3    7    4    6    9    
Vardas2107                    Pavardė2107                  8    2    7    6    5    
Vardas2108                    Pavardė2108                  4    4    7    2    4    
Vardas2109                    Pavardė2109                  3    5    1    4    6    
Vardas2110                    Pavardė2110                  2    1    2    8    1    
Vardas2111                    Pavardė2111                  8    7    4    8    8    
Vardas2112                    Pavardė2112                  4    5    3    7    7    
Vardas2113                    Pavardė2113                  2    2    9    2    4    
Vardas2114                    Pavardė2114                  8    2    4    9    7    
Vardas2115                    Pavardė2115                  8    9    9    4    9    
Vardas2116                    Pavardė2116                  1    5    5    2    8    
Vardas2117                    Pavardė2117                  4    8    3    3    9    
Vardas2118                    Pavardė2118                  1    7    7    8    6    
Vardas2119                    Pavardė2119                  6    3    4    4    2    
Vardas2120                    Pavardė2120                  6    5    6    6    4    
Vardas2121                    Pavardė2121                  1    5    8    8    2    
Vardas2122                    Pavardė2122                  4    3    6    9    2    
Vardas2123                    Pavardė2123                  7    9    9    6    4    
Vardas2124                    Pavardė2124                  5    4    7    3    5    
Vardas2125                    Pavardė2125                  9    8    6    6    5    
Vardas2126                    Pavardė2126                  2    1    3    9    1    
Vardas2127                    Pavardė2127                  6    1    3    6    8    
Vardas2128                    Pavardė2128                  5    9    6    9    3    
Vardas2129                    Pavardė2129                  3    3    2    6    3    
Vardas2130                    Pavardė2130                  1    2    6    2    1    
Vardas2131                    Pavardė2131                  6    7    1    3    9    
Vardas2132                    Pavardė2132                  6    6    6    8    9    
Vardas2133                    Pavardė2133                  4    9    4    3    2    
Vardas2134                    Pavardė2134                  5    5    4    7    2    
Vardas2135                    Pavardė2135                  9    1    2    2    5    
Vardas2136                    Pavardė2136                  5    3    2    7    9    
Vardas2137                    Pavardė2137                  1    6    2    4    6    
Vardas2138                    Pavardė2138                  7    4    7    3    9    
Vardas2139                    Pavardė2139                  9    6    8    6    9    
Vardas2140                    Pavardė2140                  7    5    4    2    7    
Vardas2141                    Pavardė2141                  3    9    6    9    6    
Vardas2142                    Pavardė2142                  4    7    4    6    8    
Vardas2143                    Pavardė2143                  7    7    3    4    8    
Vardas2144                    Pavardė2144                  4    6    8    8    4    
Vardas2145                    Pavardė2145                  7    5    7    5    1    
Vardas2146                    Pavardė2146                  8    4    9    6    1    
Vardas2147                    Pavardė2147                  1    3    9    3    2    
Vardas2148                    Pavardė2148                  6    4    8    4    5    
Vardas2149                    Pavardė2149                  7    2    5    2    2    
Vardas2150                    Pavardė2150                  1    8    5    7    4    
Vardas2151                    Pavardė2151                  2    6    2    7    8    
Vardas2152                    Pavardė2152                  7    6    1    3    8    
Vardas2153                    Pavardė2153                  7    5    7    6    5    
Vardas2154                    Pavardė2154                  4    7    8    8    8    
Vardas2155                    Pavardė2155                  1    9    2    7    5    
Vardas2156                    Pavardė2156                  2    2    3    6    9    
Vardas2157                    Pavardė2157                  2    1    5    8    2    
Vardas2158                    Pavardė2158                  4    9    1    9    9    
Vardas2159                    Pavardė2159                  7    4    2    5    1    
Vardas2160                    Pavardė2160                  6    8    5    8    6    
Vardas2161                    Pavardė2161                  7    9    4    9    3    
Vardas2162                    Pavardė2162                  1    9    1    3    3    
Vardas2163                    Pavardė2163                  8    2    3    3    5    
Vardas2164                    Pavardė2164                  2    7    5    5    7    
Vardas2165                    Pavardė2165                  6    8    5    3    7    
Vardas2166                    Pavardė2166                  3    4    2    4    9    
Vardas2167                    Pavardė2167                  1    1    8    3    4    
Vardas2168                    Pavardė2168                  4    7    7    9    8    
Vardas2169                    Pavardė2169                  7    5    1    8    3    
Vardas2170                    Pavardė2170                  5    9    3    9    6    
Vardas2171                    Pavardė2171                  5    1    3    7    2    
Vardas2172                    Pavardė2172                  4    5    6    4    4    
Vardas2173                    Pavardė2173                  2    3    6    4    7    
Vardas2174                    Pavardė2174                  7    7    3    2    7    
Vardas2175                    Pavardė2175                  8    7    8    3    7    
Vardas2176                    Pavardė2176                  6    4    7    1    4    
Vardas2177                    Pavardė2177                  1    1    3    2    5    
Vardas2178                    Pavardė2178                  5    3    5    8    8    
Vardas2179                    Pavardė2179                  5    1    9    9    6    
Vardas2180                    Pavardė2180                  6    3    2    6    5    
Vardas2181                    Pavardė2181                  4    8    3    1    7    
Vardas2182                    Pavardė2182                  5    6    6    2    9    
Vardas2183                    Pavardė2183                  3    3    7    5    3    
Vardas2184                    Pavardė2184                  9    6    3    4    3    
Vardas2185                    Pavardė2185                  9    9    9    3    1    
Vardas2186                    Pavardė2186                  1    7    5    9    6    
Vardas2187                    Pavardė2187                  7    8    2    6    8    
Vardas2188                    Pavardė2188                  8    4    8    4    2    
Vardas2189                    Pavardė2189                  6    3    9    8    3    
Vardas2190                    Pavardė2190                  5    5    7    3    9    
Vardas2191                    Pavardė2191                  6    4    8    6    8    
Vardas2192                    Pavardė2192                  4    9    3    1    8    
Vardas2193                    Pavardė2193                  6    9    9    1    2    
Vardas2194                    Pavardė2194                  9    8    8    9    5    
Vardas2195                    Pavardė2195                  5    5    7    6    1    
Vardas2196                    Pavardė2196                  1    3    7    5    4    
Vardas2197                    Pavardė2197                  5    6    2    4    8    
Vardas2198                    Pavardė2198                  3    9    6    4    5    
Vardas2199                    Pavardė2199                  7    2    8    9    5    
Vardas2200                    Pavardė2200                  2    9    2    2    5    
Vardas2201                    Pavardė2201                  9    3    2    7    3    
Vardas2202                    Pavardė2202                  6    2    6    3    3    
Vardas2203                    Pavardė2203                  1    9    6    4    2    
Vardas2204                    Pavardė2204                  6    1    4    8    8    
Vardas2205                    Pavardė2205                  7    3    1    7    5    
Vardas2206                    Pavardė2206                  9    9    2    9    8    
Vardas2207                    Pavardė2207                  4    9    1    6    5    
Vardas2208                    Pavardė2208                  3    3    1    8    8    
Vardas2209                    Pavardė2209                  7    7    2    6    5    
Vardas2210                    Pavardė2210                  7    1    1    7    3    
Vardas2211                    Pavardė2211                  2    2    8    1    8    
Vardas2212                    Pavardė2212                  1    4    3    7    8    
Vardas2213                    Pavardė2213                  7    2    8    6    9    
Vardas2214                    Pavardė2214                  7    3    2    3    7    
Vardas2215                    Pavardė2215                  8    6    3    8    5    
Vardas2216                    Pavardė2216                  7    8    2    5    5    
Vardas2217                    Pavardė2217                  9    7    9    9    9    
Vardas2218                    Pavardė2218                  1    2    1    1    6    
Vardas2219                    Pavardė2219                  4    2    5    5    9    
Vardas2220                    Pavardė2220                  8    7    4    9    7    
Vardas2221                    Pavardė2221                  1    4    8    7    1    
Vardas2222                    Pavardė2222                  4    7    5    5    4    
Vardas2223                    Pavardė2223                  8    4    3    1    7    
Vardas2224                    Pavardė2224                  4    9    9    6    9    
Vardas2225                    Pavardė2225                  5    5    7    6    3    
Vardas2226                    Pavardė2226                  3    8    3    7    2    
Vardas2227                    Pavardė2227                  2    1    3    7    6    
Vardas2228                    Pavardė2228                  4    7    7    9    5    
Vardas2229                    Pavardė2229                  8    6    5    7    3    
Vardas2230                    Pavardė2230                  8    1    4    5    2    
Vardas2231                    Pavardė2231                  4    4    8    2    6    
Vardas2232                    Pavardė2232                  1    4    1    4    9    
Vardas2233                    Pavardė2233                  4    2    6    4    9    
Vardas2234                    Pavardė2234                  3    3    8    1    6    
Vardas2235                    Pavardė2235                  3    9    9    2    1    
Vardas2236                    Pavardė2236                  6    8    4    9    4    
Vardas2237                    Pavardė2237                  4    8    7    3    2    
Vardas2238                    Pavardė2238                  3    2    5    7    8    
Vardas2239                    Pavardė2239                  5    9    6    5    7    
Vardas2240                    Pavardė2240                  9    9    1    2    3    
Vardas2241                    Pavardė2241                  6    1    9    4    6    
Vardas2242                    Pavardė2242                  6    1    4    9    2    
Vardas2243                    Pavardė2243                  7    4    8    2    9    
Vardas2244                    Pavardė2244                  5    7    1    1    7    
Vardas2245                    Pavardė2245                  5    9    9    4    1    
Vardas2246                    Pavardė2246                  9    4    9    3    7    
Vardas2247                    Pavardė2247                  4    2    2    6    7    
Vardas2248                    Pavardė2248                  1    1    6    1    3    
Vardas2249                    Pavardė2249                  4    9    4    5    9    
Vardas2250                    Pavardė2250                  2    6    5    2    7    
Vardas2251                    Pavardė2251                  1    5    5    3    3    
Vardas2252                    Pavardė2252                  7    4    5    4    1    
Vardas2253                    Pavardė2253                  4    4    3    3    5    
Vardas2254                    Pavardė2254                  7    6    1    6    7    
Vardas2255                    Pavardė2255                  5    9    1    4    5    
Vardas2256                    Pavardė2256                  6    3    6    1    3    
Vardas2257                    Pavardė2257                  4    7    1    1    6    
Vardas2258                    Pavardė2258                  9    5    7    8    5    
Vardas2259                    Pavardė2259                  3    3    3    3    8    
Vardas2260                    Pavardė2260                  1    4    8    8    6    
Vardas2261                    Pavardė2261                  5    1    7    9    1    
