Vardas                        Pavardė                      ND1  ND2  ND3  ND4  ND5  EGZ  
Vardas498                     Pavardė498                   1    4    9    4    7    1    
Vardas499                     Pavardė499                   1    8    9    1    7    5    
Vardas500                     Pavardė500                   9    4    8    9    5    2    
Vardas501                     Pavardė501                   6    2    6    5    9    3    
Vardas502                     Pavardė502                   6    4    3    2    4    9    
Vardas503                     Pavardė503                   3    7    4    8    2    1    
Vardas504                     Pavardė504                   3    2    7    4    9    7    
Vardas505                     Pavardė505                   6    10   2    10   4    6    
Vardas506                     Pavardė506                   10   7    1    1    9    1    
Vardas507                     Pavardė507                   6    4    6    9    5    9    
Vardas508                     Pavardė508                   10   7    9    8    7    1    
Vardas509                     Pavardė509                   5    6    3    5    8    6    
Vardas510                     Pavardė510                   10   2    10   9    6    1    
Vardas511                     Pavardė511                   8    5    9    8    1    10   
Vardas512                     Pavardė512                   4    7    1    6    2    5    
Vardas513                     Pavardė513                   7    8    5    3    10   3    
Vardas514                     Pavardė514                   5    10   6    7    9    5    
Vardas515                     Pavardė515                   1    2    2    4    2    3    
Vardas516                     Pavardė516                   2    8    9    5    2    2    
Vardas517                     Pavardė517                   6    7    8    1    4    8    
Vardas518                     Pavardė518                   3    7    4    1    3    9    
Vardas519                     Pavardė519                   5    5    2    8    3    7    
Vardas520                     Pavardė520                   1    8    10   10   3    8    
Vardas521                     Pavardė521                   3    8    10   4    3    5    
Vardas522                     Pavardė522                   4    4    9    6    1    6    
Vardas523                     Pavardė523                   1    2    10   3    1    5    
Vardas524                     Pavardė524                   10   8    10   5    8    6    
Vardas525                     Pavardė525                   9    5    7    2    8    2    
Vardas526                     Pavardė526                   2    8    10   6    2    1    
Vardas527                     Pavardė527                   3    10   7    4    4    5    
Vardas528                     Pavardė528                   9    9    6    8    6    1    
Vardas529                     Pavardė529                   3    8    8    4    9    2    
Vardas530                     Pavardė530                   8    6    9    1    9    6    
Vardas531                     Pavardė531                   8    10   7    1    7    1    
Vardas532                     Pavardė532                   1    1    8    5    10   2    
Vardas533                     Pavardė533                   10   1    7    8    2    9    
Vardas534                     Pavardė534                   5    4    10   5    1    2    
Vardas535                     Pavardė535                   2    5    5    1    3    1    
Vardas536                     Pavardė536                   6    6    7    9    9    6    
Vardas537                     Pavardė537                   5    5    7    7    9    4    
Vardas538                     Pavardė538                   9    8    10   8    2    10   
Vardas539                     Pavardė539                   3    7    2    4    7    8    
Vardas540                     Pavardė540                   2    8    7    7    4    4    
Vardas541                     Pavardė541                   10   5    2    7    8    10   
Vardas542                     Pavardė542                   10   3    9    7    7    5    
Vardas543                     Pavardė543                   7    8    3    3    4    9    
Vardas544                     Pavardė544                   5    1    9    10   2    9    
Vardas545                     Pavardė545                   6    5    6    7    10   9    
Vardas546                     Pavardė546                   3    1    5    8    4    10   
Vardas547                     Pavardė547                   8    3    4    2    4    5    
Vardas548                     Pavardė548                   3    7    8    7    8    10   
Vardas549                     Pavardė549                   8    8    2    9    7    7    
Vardas550                     Pavardė550                   3    4    5    3    5    7    
Vardas551                     Pavardė551                   3    5    1    2    9    2    
Vardas552                     Pavardė552                   8    10   9    3    1    3    
Vardas553                     Pavardė553                   3    6    3    10   3    8    
Vardas554                     Pavardė554                   4    10   5    6    1    4    
Vardas555                     Pavardė555                   3    2    4    8    9    8    
Vardas556                     Pavardė556                   7    8    5    6    7    6    
Vardas557                     Pavardė557                   2    8    3    4    4    4    
Vardas558                     Pavardė558                   9    9    1    1    10   2    
Vardas559                     Pavardė559                   5    8    9    2    7    3    
Vardas560                     Pavardė560                   7    4    1    2    7    9    
Vardas561                     Pavardė561                   1    1    3    10   9    2    
Vardas562                     Pavardė562                   5    5    10   10   9    6    
Vardas563                     Pavardė563                   8    5    4    9    9    10   
Vardas564                     Pavardė564                   9    9    9    2    6    4    
Vardas565                     Pavardė565                   5    6    8    6    1    3    
Vardas566                     Pavardė566                   6    9    3    1    8    6    
Vardas567                     Pavardė567                   10   3    6    9    5    3    
Vardas568                     Pavardė568                   10   8    1    7    1    1    
Vardas569                     Pavardė569                   8    5    7    8    1    4    
Vardas570                     Pavardė570                   4    8    3    2    1    4    
Vardas571                     Pavardė571                   3    9    7    8    9    4    
Vardas572                     Pavardė572                   8    4    4    5    4    3    
Vardas573                     Pavardė573                   8    9    9    5    10   5    
Vardas574                     Pavardė574                   5    5    4    9    10   9    
Vardas575                     Pavardė575                   5    4    3    6    4    5    
Vardas576                     Pavardė576                   1    10   7    7    1    6    
Vardas577                     Pavardė577                   2    7    4    8    9    10   
Vardas578                     Pavardė578                   1    7    6    6    2    9    
Vardas579                     Pavardė579                   10   5    9    7    9    3    
Vardas580                     Pavardė580                   5    1    8    2    9    4    
Vardas581                     Pavardė581                   1    6    2    6    9    4    
Vardas582                     Pavardė582                   6    2    10   3    3    6    
Vardas583                     Pavardė583                   1    8    3    1    6    8    
Vardas584                     Pavardė584                   8    7    4    7    2    6    
Vardas585                     Pavardė585                   6    7    1    9    1    6    
Vardas586                     Pavardė586                   9    10   7    9    8    7    
Vardas587                     Pavardė587                   7    8    6    2    10   4    
Vardas588                     Pavardė588                   3    5    2    9    7    5    
Vardas589                     Pavardė589                   6    8    7    1    6    10   
Vardas590                     Pavardė590                   1    1    8    8    5    5    
Vardas591                     Pavardė591                   1    6    6    1    5    5    
Vardas592                     Pavardė592                   6    1    10   8    10   2    
Vardas593                     Pavardė593                   9    7    2    2    9    7    
Vardas594                     Pavardė594                   4    10   7    10   2    8    
Vardas595                     Pavardė595                   4    9    2    9    3    1    
Vardas596                     Pavardė596                   4    10   5    7    8    1    
Vardas597                     Pavardė597                   10   6    6    10   4    10   
Vardas598                     Pavardė598                   3    10   3    5    8    8    
Vardas599                     Pavardė599                   3    8    2    6    7    3    
Vardas600                     Pavardė600                   2    7    3    8    9    10   
Vardas601                     Pavardė601                   7    2    10   1    2    6    
Vardas602                     Pavardė602                   7    8    3    8    7    7    
Vardas603                     Pavardė603                   3    4    8    2    7    4    
Vardas604                     Pavardė604                   6    3    2    9    4    7    
Vardas605                     Pavardė605                   6    3    2    8    10   6    
Vardas606                     Pavardė606                   5    5    1    3    1    5    
Vardas607                     Pavardė607                   1    6    7    1    8    1    
Vardas608                     Pavardė608                   10   6    9    10   10   7    
Vardas609                     Pavardė609                   5    9    2    2    6    1    
Vardas610                     Pavardė610                   6    2    5    10   10   6    
Vardas611                     Pavardė611                   2    2    2    5    9    2    
Vardas612                     Pavardė612                   9    2    10   6    3    5    
Vardas613                     Pavardė613                   8    8    9    10   5    10   
Vardas614                     Pavardė614                   9    4    2    8    8    10   
Vardas615                     Pavardė615                   3    7    3    9    10   5    
Vardas616                     Pavardė616                   8    2    1    3    4    9    
Vardas617                     Pavardė617                   7    7    7    7    3    5    
Vardas618                     Pavardė618                   10   6    5    9    2    5    
Vardas619                     Pavardė619                   2    7    10   1    6    3    
Vardas620                     Pavardė620                   6    4    4    10   3    7    
Vardas621                     Pavardė621                   1    3    7    6    6    6    
Vardas622                     Pavardė622                   5    9    6    1    8    6    
Vardas623                     Pavardė623                   4    9    10   4    9    10   
Vardas624                     Pavardė624                   4    3    4    8    2    9    
Vardas625                     Pavardė625                   2    2    4    10   2    6    
Vardas626                     Pavardė626                   3    6    1    7    3    3    
Vardas627                     Pavardė627                   3    10   4    2    8    7    
Vardas628                     Pavardė628                   7    2    7    7    4    3    
Vardas629                     Pavardė629                   5    1    8    2    2    10   
Vardas630                     Pavardė630                   6    7    10   8    3    4    
Vardas631                     Pavardė631                   6    3    4    8    9    3    
Vardas632                     Pavardė632                   2    10   6    3    10   4    
Vardas633                     Pavardė633                   4    2    5    1    10   10   
Vardas634                     Pavardė634                   2    2    4    5    1    6    
Vardas635                     Pavardė635                   9    2    2    6    4    8    
Vardas636                     Pavardė636                   10   10   8    4    1    8    
Vardas637                     Pavardė637                   7    6    5    3    1    3    
Vardas638                     Pavardė638                   8    10   2    8    8    8    
Vardas639                     Pavardė639                   8    1    9    7    1    2    
Vardas640                     Pavardė640                   6    4    10   5    7    4    
Vardas641                     Pavardė641                   7    5    10   10   10   2    
Vardas642                     Pavardė642                   10   6    2    1    3    1    
Vardas643                     Pavardė643                   4    5    2    6    2    3    
Vardas644                     Pavardė644                   6    7    5    6    5    9    
Vardas645                     Pavardė645                   3    3    6    8    10   7    
Vardas646                     Pavardė646                   1    7    2    5    10   4    
Vardas647                     Pavardė647                   4    4    10   8    9    4    
Vardas648                     Pavardė648                   5    9    1    10   3    10   
Vardas649                     Pavardė649                   8    9    3    6    5    8    
Vardas650                     Pavardė650                   5    6    3    3    10   7    
Vardas651                     Pavardė651                   3    9    6    7    2    2    
Vardas652                     Pavardė652                   3    3    3    10   9    4    
Vardas653                     Pavardė653                   6    6    5    2    10   7    
Vardas654                     Pavardė654                   6    8    9    8    2    8    
Vardas655                     Pavardė655                   1    2    9    6    8    8    
Vardas656                     Pavardė656                   8    4    3    9    2    7    
Vardas657                     Pavardė657                   4    9    9    1    5    4    
Vardas658                     Pavardė658                   2    1    7    10   8    7    
Vardas659                     Pavardė659                   3    8    4    9    2    7    
Vardas660                     Pavardė660                   7    7    10   10   9    2    
Vardas661                     Pavardė661                   5    3    4    8    5    5    
Vardas662                     Pavardė662                   8    1    8    7    8    7    
Vardas663                     Pavardė663                   5    6    1    8    3    2    
Vardas664                     Pavardė664                   1    2    3    10   5    3    
Vardas665                     Pavardė665                   3    8    10   1    1    8    
Vardas666                     Pavardė666                   2    5    6    8    7    5    
Vardas667                     Pavardė667                   6    9    4    10   3    9    
Vardas668                     Pavardė668                   8    8    10   10   8    6    
Vardas669                     Pavardė669                   1    7    10   1    1    7    
Vardas670                     Pavardė670                   7    3    1    2    5    6    
Vardas671                     Pavardė671                   4    9    2    1    4    10   
Vardas672                     Pavardė672                   4    7    8    3    9    10   
Vardas673                     Pavardė673                   10   10   9    2    3    8    
Vardas674                     Pavardė674                   9    5    9    2    6    2    
Vardas675                     Pavardė675                   2    7    4    10   4    7    
Vardas676                     Pavardė676                   5    3    1    5    7    5    
Vardas677                     Pavardė677                   4    10   1    8    5    6    
Vardas678                     Pavardė678                   2    6    8    3    5    5    
Vardas679                     Pavardė679                   3    7    7    1    7    3    
Vardas680                     Pavardė680                   9    8    10   9    4    1    
Vardas681                     Pavardė681                   3    6    1    10   5    4    
Vardas682                     Pavardė682                   8    1    6    2    1    2    
Vardas683                     Pavardė683                   1    3    1    1    5    4    
Vardas684                     Pavardė684                   8    1    4    8    7    8    
Vardas685                     Pavardė685                   10   7    10   4    5    6    
Vardas686                     Pavardė686                   2    7    8    5    7    4    
Vardas687                     Pavardė687                   5    2    3    8    1    10   
Vardas688                     Pavardė688                   9    8    3    1    8    9    
Vardas689                     Pavardė689                   10   10   2    9    3    5    
Vardas690                     Pavardė690                   2    5    4    5    3    5    
Vardas691                     Pavardė691                   4    8    7    10   7    9    
Vardas692                     Pavardė692                   10   5    10   8    1    3    
Vardas693                     Pavardė693                   10   10   5    5    1    2    
Vardas694                     Pavardė694                   1    9    8    3    2    7    
Vardas695                     Pavardė695                   9    1    10   3    6    5    
Vardas696                     Pavardė696                   5    4    10   2    10   5    
Vardas697                     Pavardė697                   2    2    6    8    7    8    
Vardas698                     Pavardė698                   2    1    4    8    8    6    
Vardas699                     Pavardė699                   7    4    9    2    4    10   
Vardas700                     Pavardė700                   8    3    6    9    4    5    
Vardas701                     Pavardė701                   10   2    5    5    3    10   
Vardas702                     Pavardė702                   4    5    3    4    4    5    
Vardas703                     Pavardė703                   1    5    7    9    4    7    
Vardas704                     Pavardė704                   4    4    8    10   7    7    
Vardas705                     Pavardė705                   10   9    4    6    8    1    
Vardas706                     Pavardė706                   7    4    3    1    3    8    
Vardas707                     Pavardė707                   9    6    6    5    7    10   
Vardas708                     Pavardė708                   1    7    6    5    7    1    
Vardas709                     Pavardė709                   4    9    10   9    4    9    
Vardas710                     Pavardė710                   1    6    1    9    7    1    
Vardas711                     Pavardė711                   9    8    8    9    10   10   
Vardas712                     Pavardė712                   9    9    8    7    4    4    
Vardas713                     Pavardė713                   5    2    9    8    2    10   
Vardas714                     Pavardė714                   5    6    8    4    1    6    
Vardas715                     Pavardė715                   8    3    8    1    7    6    
Vardas716                     Pavardė716                   3    2    9    3    1    3    
Vardas717                     Pavardė717                   1    9    5    3    10   1    
Vardas718                     Pavardė718                   6    8    1    2    8    9    
Vardas719                     Pavardė719                   8    3    7    4    9    6    
Vardas720                     Pavardė720                   4    2    9    7    1    10   
Vardas721                     Pavardė721                   9    10   3    6    7    5    
Vardas722                     Pavardė722                   8    1    4    10   1    4    
Vardas723                     Pavardė723                   4    8    9    9    2    6    
Vardas724                     Pavardė724                   6    4    4    1    1    6    
Vardas725                     Pavardė725                   2    3    10   5    5    9    
Vardas726                     Pavardė726                   7    5    6    3    5    6    
Vardas727                     Pavardė727                   7    10   8    1    1    8    
Vardas728                     Pavardė728                   5    10   7    6    3    6    
Vardas729                     Pavardė729                   3    1    5    7    9    1    
Vardas730                     Pavardė730                   7    10   4    4    3    5    
Vardas731                     Pavardė731                   8    6    8    2    2    6    
Vardas732                     Pavardė732                   4    4    8    9    4    3    
Vardas733                     Pavardė733                   1    4    2    9    9    3    
Vardas734                     Pavardė734                   1    2    8    4    1    6    
Vardas735                     Pavardė735                   10   6    3    7    5    7    
Vardas736                     Pavardė736                   9    8    5    5    4    1    
Vardas737                     Pavardė737                   3    9    4    5    4    2    
Vardas738                     Pavardė738                   5    5    9    2    4    7    
Vardas739                     Pavardė739                   7    2    3    5    7    4    
Vardas740                     Pavardė740                   10   10   3    9    10   3    
Vardas741                     Pavardė741                   2    5    8    10   5    7    
Vardas742                     Pavardė742                   2    5    9    8    8    7    
Vardas743                     Pavardė743                   1    8    4    2    1    1    
Vardas744                     Pavardė744                   8    1    5    9    5    4    
Vardas745                     Pavardė745                   5    6    1    7    1    9    
Vardas746                     Pavardė746                   7    2    7    10   1    3    
Vardas747                     Pavardė747                   2    9    2    7    1    10   
Vardas748                     Pavardė748                   8    10   6    6    4    2    
Vardas749                     Pavardė749                   1    8    4    1    4    5    
Vardas750                     Pavardė750                   5    10   3    7    1    7    
Vardas751                     Pavardė751                   5    6    7    3    10   4    
Vardas752                     Pavardė752                   9    2    9    7    10   1    
Vardas753                     Pavardė753                   8    4    9    3    8    10   
Vardas754                     Pavardė754                   6    9    8    1    3    1    
Vardas755                     Pavardė755                   10   10   5    4    2    5    
Vardas756                     Pavardė756                   9    3    2    5    4    9    
Vardas757                     Pavardė757                   8    3    5    6    7    6    
Vardas758                     Pavardė758                   2    9    5    6    3    1    
Vardas759                     Pavardė759                   9    4    4    2    10   1    
Vardas760                     Pavardė760                   9    9    7    9    4    7    
Vardas761                     Pavardė761                   6    5    9    1    1    10   
Vardas762                     Pavardė762                   1    9    10   1    9    10   
Vardas763                     Pavardė763                   6    2    8    4    7    5    
Vardas764                     Pavardė764                   2    1    8    4    6    5    
Vardas765                     Pavardė765                   5    1    4    7    10   9    
Vardas766                     Pavardė766                   7    5    9    8    6    2    
Vardas767                     Pavardė767                   10   6    6    9    9    5    
Vardas768                     Pavardė768                   6    2    1    9    2    4    
Vardas769                     Pavardė769                   10   9    5    1    5    2    
Vardas770                     Pavardė770                   10   6    10   9    10   4    
Vardas771                     Pavardė771                   7    3    9    6    4    5    
Vardas772                     Pavardė772                   1    8    2    7    10   5    
Vardas773                     Pavardė773                   4    10   6    7    6    2    
Vardas774                     Pavardė774                   7    4    6    3    6    2    
Vardas775                     Pavardė775                   3    8    7    6    2    1    
Vardas776                     Pavardė776                   6    3    5    10   9    8    
Vardas777                     Pavardė777                   1    4    7    10   1    9    
Vardas778                     Pavardė778                   10   3    8    2    1    8    
Vardas779                     Pavardė779                   6    8    7    7    10   8    
Vardas780                     Pavardė780                   1    7    7    7    5    6    
Vardas781                     Pavardė781                   4    5    2    4    10   4    
Vardas782                     Pavardė782                   6    8    5    9    10   1    
Vardas783                     Pavardė783                   1    1    5    1    4    1    
Vardas784                     Pavardė784                   3    8    5    7    2    1    
Vardas785                     Pavardė785                   1    6    10   10   5    7    
Vardas786                     Pavardė786                   8    10   5    10   8    9    
Vardas787                     Pavardė787                   5    1    8    10   10   7    
Vardas788                     Pavardė788                   8    2    6    6    2    9    
Vardas789                     Pavardė789                   1    4    2    8    8    8    
Vardas790                     Pavardė790                   10   2    1    6    5    4    
Vardas791                     Pavardė791                   6    6    3    5    10   8    
Vardas792                     Pavardė792                   5    10   4    8    9    2    
Vardas793                     Pavardė793                   3    9    6    9    7    5    
Vardas794                     Pavardė794                   3    2    10   4    7    1    
Vardas795                     Pavardė795                   2    1    4    2    4    8    
Vardas796                     Pavardė796                   1    5    2    1    4    9    
Vardas797                     Pavardė797                   8    3    6    1    1    7    
Vardas798                     Pavardė798                   7    8    1    1    1    9    
Vardas799                     Pavardė799                   8    7    4    3    8    6    
Vardas800                     Pavardė800                   9    8    8    4    2    4    
Vardas801                     Pavardė801                   5    6    7    2    3    4    
Vardas802                     Pavardė802                   6    6    10   7    4    8    
Vardas803                     Pavardė803                   10   9    3    8    10   7    
Vardas804                     Pavardė804                   10   7    4    5    3    10   
Vardas805                     Pavardė805                   10   3    10   5    1    10   
Vardas806                     Pavardė806                   8    7    5    3    4    2    
Vardas807                     Pavardė807                   2    6    9    1    4    2    
Vardas808                     Pavardė808                   9    10   8    2    5    7    
Vardas809                     Pavardė809                   8    9    10   10   9    7    
Vardas810                     Pavardė810                   7    3    8    6    4    6    
Vardas811                     Pavardė811                   4    3    6    10   10   7    
Vardas812                     Pavardė812                   6    1    4    1    9    7    
Vardas813                     Pavardė813                   10   9    4    8    10   9    
Vardas814                     Pavardė814                   3    1    3    4    5    3    
Vardas815                     Pavardė815                   1    7    10   9    7    5    
Vardas816                     Pavardė816                   7    7    4    6    7    3    
Vardas817                     Pavardė817                   6    1    10   5    7    1    
Vardas818                     Pavardė818                   2    3    4    6    2    7    
Vardas819                     Pavardė819                   6    8    6    6    1    4    
Vardas820                     Pavardė820                   4    9    7    5    2    2    
Vardas821                     Pavardė821                   1    2    2    8    7    9    
Vardas822                     Pavardė822                   8    6    8    4    2    2    
Vardas823                     Pavardė823                   3    10   1    7    6    5    
Vardas824                     Pavardė824                   7    10   3    2    8    7    
Vardas825                     Pavardė825                   4    9    3    10   1    6    
Vardas826                     Pavardė826                   8    4    2    8    4    2    
Vardas827                     Pavardė827                   1    7    8    4    6    6    
Vardas828                     Pavardė828                   2    7    5    6    9    10   
Vardas829                     Pavardė829                   6    7    10   2    2    10   
Vardas830                     Pavardė830                   7    10   7    6    3    9    
Vardas831                     Pavardė831                   10   9    2    8    2    1    
Vardas832                     Pavardė832                   5    1    2    10   10   6    
Vardas833                     Pavardė833                   5    1    2    2    10   5    
Vardas834                     Pavardė834                   9    4    3    9    1    10   
Vardas835                     Pavardė835                   7    6    7    5    8    4    
Vardas836                     Pavardė836                   4    1    3    10   4    5    
Vardas837                     Pavardė837                   5    8    10   1    9    10   
Vardas838                     Pavardė838                   10   9    9    3    9    1    
Vardas839                     Pavardė839                   4    10   2    8    5    2    
Vardas840                     Pavardė840                   6    7    6    9    3    5    
Vardas841                     Pavardė841                   8    4    4    3    10   4    
Vardas842                     Pavardė842                   9    4    1    4    6    2    
Vardas843                     Pavardė843                   3    6    10   7    5    2    
Vardas844                     Pavardė844                   4    4    3    3    4    10   
Vardas845                     Pavardė845                   6    4    6    9    9    5    
Vardas846                     Pavardė846                   9    3    9    5    1    9    
Vardas847                     Pavardė847                   1    9    10   1    5    9    
Vardas848                     Pavardė848                   6    8    10   7    9    10   
Vardas849                     Pavardė849                   10   7    9    9    6    7    
Vardas850                     Pavardė850                   10   6    4    5    4    3    
Vardas851                     Pavardė851                   9    2    10   2    6    6    
Vardas852                     Pavardė852                   6    5    1    2    9    2    
Vardas853                     Pavardė853                   9    8    4    9    2    4    
Vardas854                     Pavardė854                   9    4    2    8    6    1    
Vardas855                     Pavardė855                   3    5    6    7    1    8    
Vardas856                     Pavardė856                   5    3    1    4    4    10   
Vardas857                     Pavardė857                   9    3    4    1    5    8    
Vardas858                     Pavardė858                   4    6    1    9    5    2    
Vardas859                     Pavardė859                   10   4    6    7    8    10   
Vardas860                     Pavardė860                   4    3    7    10   6    4    
Vardas861                     Pavardė861                   10   4    2    7    5    4    
Vardas862                     Pavardė862                   7    2    5    2    4    9    
Vardas863                     Pavardė863                   2    8    10   6    8    5    
Vardas864                     Pavardė864                   2    10   10   5    6    5    
Vardas865                     Pavardė865                   8    8    10   6    1    10   
Vardas866                     Pavardė866                   7    9    10   1    7    8    
Vardas867                     Pavardė867                   8    3    8    2    6    5    
Vardas868                     Pavardė868                   6    1    9    8    5    10   
Vardas869                     Pavardė869                   9    10   6    4    10   1    
Vardas870                     Pavardė870                   5    1    3    8    7    8    
Vardas871                     Pavardė871                   10   4    3    6    2    9    
Vardas872                     Pavardė872                   8    9    7    2    3    10   
Vardas873                     Pavardė873                   7    4    1    9    4    5    
Vardas874                     Pavardė874                   7    7    1    7    3    5    
Vardas875                     Pavardė875                   4    10   5    1    6    9    
Vardas876                     Pavardė876                   9    4    8    7    1    9    
Vardas877                     Pavardė877                   5    4    9    6    8    5    
Vardas878                     Pavardė878                   2    6    1    6    9    3    
Vardas879                     Pavardė879                   3    1    1    6    6    5    
Vardas880                     Pavardė880                   3    5    10   4    5    1    
Vardas881                     Pavardė881                   4    2    10   4    3    5    
Vardas882                     Pavardė882                   4    6    2    9    8    2    
Vardas883                     Pavardė883                   2    6    10   6    10   4    
Vardas884                     Pavardė884                   8    7    9    1    3    7    
Vardas885                     Pavardė885                   4    5    9    1    6    8    
Vardas886                     Pavardė886                   1    10   6    1    8    3    
Vardas887                     Pavardė887                   9    5    4    6    4    4    
Vardas888                     Pavardė888                   8    6    3    2    2    10   
Vardas889                     Pavardė889                   1    8    1    3    9    9    
Vardas890                     Pavardė890                   2    8    7    1    2    5    
Vardas891                     Pavardė891                   2    9    9    4    4    5    
Vardas892                     Pavardė892                   5    3    1    1    2    8    
Vardas893                     Pavardė893                   1    10   8    9    4    9    
Vardas894                     Pavardė894                   7    2    3    9    5    7    
Vardas895                     Pavardė895                   10   5    4    8    6    6    
Vardas896                     Pavardė896                   4    6    8    5    8    3    
Vardas897                     Pavardė897                   4    8    6    4    7    4    
Vardas898                     Pavardė898                   8    9    8    5    3    9    
Vardas899                     Pavardė899                   8    4    9    2    4    10   
Vardas900                     Pavardė900                   2    1    3    3    4    3    
Vardas901                     Pavardė901                   1    7    2    10   4    10   
Vardas902                     Pavardė902                   1    5    9    2    10   4    
Vardas903                     Pavardė903                   3    7    1    3    10   6    
Vardas904                     Pavardė904                   2    9    1    4    5    1    
Vardas905                     Pavardė905                   10   9    3    8    6    8    
Vardas906                     Pavardė906                   2    2    10   3    10   5    
Vardas907                     Pavardė907                   7    4    10   2    10   10   
Vardas908                     Pavardė908                   7    9    4    10   10   4    
Vardas909                     Pavardė909                   2    7    9    4    10   1    
Vardas910                     Pavardė910                   3    3    9    7    6    2    
Vardas911                     Pavardė911                   2    7    5    6    2    4    
Vardas912                     Pavardė912                   7    3    9    3    4    3    
Vardas913                     Pavardė913                   5    10   8    3    2    10   
Vardas914                     Pavardė914                   2    3    5    2    6    3    
Vardas915                     Pavardė915                   6    7    9    6    7    8    
Vardas916                     Pavardė916                   6    3    8    4    6    3    
Vardas917                     Pavardė917                   2    10   4    5    1    9    
Vardas918                     Pavardė918                   4    2    7    5    9    4    
Vardas919                     Pavardė919                   1    10   6    3    7    8    
Vardas920                     Pavardė920                   2    1    9    5    4    6    
Vardas921                     Pavardė921                   8    2    2    5    8    4    
Vardas922                     Pavardė922                   10   5    7    5    1    3    
Vardas923                     Pavardė923                   10   10   9    7    1    8    
Vardas924                     Pavardė924                   9    5    5    4    5    7    
Vardas925                     Pavardė925                   5    8    7    5    8    3    
Vardas926                     Pavardė926                   2    7    3    2    9    9    
Vardas927                     Pavardė927                   4    2    4    10   7    6    
Vardas928                     Pavardė928                   7    8    4    8    6    2    
Vardas929                     Pavardė929                   1    5    6    6    2    4    
Vardas930                     Pavardė930                   4    2    6    7    4    3    
Vardas931                     Pavardė931                   5    3    4    5    7    3    
Vardas932                     Pavardė932                   7    10   4    10   1    7    
Vardas933                     Pavardė933                   5    5    9    7    6    8    
Vardas934                     Pavardė934                   6    9    2    7    9    10   
Vardas935                     Pavardė935                   9    9    2    3    2    4    
Vardas936                     Pavardė936                   7    10   4    1    8    5    
Vardas937                     Pavardė937                   8    1    9    5    3    6    
Vardas938                     Pavardė938                   3    8    6    9    9    5    
Vardas939                     Pavardė939                   3    3    5    10   10   8    
Vardas940                     Pavardė940                   9    5    2    3    7    2    
Vardas941                     Pavardė941                   1    4    1    10   1    5    
Vardas942                     Pavardė942                   7    7    2    3    9    2    
Vardas943                     Pavardė943                   7    4    10   7    9    10   
Vardas944                     Pavardė944                   1    5    7    10   9    9    
Vardas945                     Pavardė945                   5    9    9    6    5    3    
Vardas946                     Pavardė946                   6    9    6    2    2    9    
Vardas947                     Pavardė947                   7    9    3    1    1    7    
Vardas948                     Pavardė948                   1    7    10   5    8    1    
Vardas949                     Pavardė949                   4    10   1    10   10   4    
Vardas950                     Pavardė950                   4    10   4    9    6    3    
Vardas951                     Pavardė951                   8    10   7    6    6    6    
Vardas952                     Pavardė952                   4    2    10   8    7    5    
Vardas953                     Pavardė953                   4    5    10   1    9    7    
Vardas954                     Pavardė954                   6    5    8    5    2    2    
Vardas955                     Pavardė955                   4    8    10   7    6    6    
Vardas956                     Pavardė956                   6    9    10   3    2    6    
Vardas957                     Pavardė957                   10   1    8    10   5    7    
Vardas958                     Pavardė958                   7    8    4    5    4    3    
Vardas959                     Pavardė959                   6    6    1    1    9    5    
Vardas960                     Pavardė960                   7    3    9    8    4    6    
Vardas961                     Pavardė961                   6    4    4    2    4    1    
Vardas962                     Pavardė962                   7    8    8    3    8    9    
Vardas963                     Pavardė963                   6    10   7    1    4    3    
Vardas964                     Pavardė964                   5    4    5    6    9    10   
Vardas965                     Pavardė965                   5    7    6    6    8    9    
Vardas966                     Pavardė966                   6    1    10   2    1    4    
Vardas967                     Pavardė967                   10   2    5    6    10   9    
Vardas968                     Pavardė968                   4    4    6    1    5    9    
Vardas969                     Pavardė969                   7    5    1    9    9    3    
Vardas970                     Pavardė970                   7    9    5    5    7    1    
Vardas971                     Pavardė971                   8    6    3    1    8    9    
Vardas972                     Pavardė972                   9    4    7    7    8    9    
Vardas973                     Pavardė973                   2    3    6    4    8    10   
Vardas974                     Pavardė974                   5    9    8    4    8    5    
Vardas975                     Pavardė975                   3    5    8    9    7    6    
Vardas976                     Pavardė976                   8    1    6    9    10   8    
Vardas977                     Pavardė977                   5    1    5    5    3    10   
Vardas978                     Pavardė978                   6    1    4    1    5    1    
Vardas979                     Pavardė979                   2    7    5    9    4    3    
Vardas980                     Pavardė980                   9    5    5    3    7    3    
Vardas981                     Pavardė981                   2    6    3    5    9    5    
Vardas982                     Pavardė982                   6    1    4    8    5    3    
Vardas983                     Pavardė983                   4    6    1    6    5    2    
Vardas984                     Pavardė984                   7    1    8    3    10   3    
Vardas985                     Pavardė985                   3    6    9    5    10   9    
Vardas986                     Pavardė986                   10   2    3    7    2    8    
Vardas987                     Pavardė987                   8    1    10   1    1    8    
Vardas988                     Pavardė988                   5    1    9    1    1    9    
Vardas989                     Pavardė989                   6    5    2    4    7    4    
Vardas990                     Pavardė990                   4    2    7    1    8    9    
Vardas991                     Pavardė991                   10   7    6    10   3    8    
Vardas992                     Pavardė992                   10   4    2    6    3    6    
Vardas993                     Pavardė993                   10   7    10   4    4    8    
Vardas994                     Pavardė994                   9    1    5    6    2    3    
Vardas995                     Pavardė995                   2    5    5    8    2    8    
